iso3,Субъект,Рейтинг качества жизни,Объем депозитов,Соотношение депозитов и доходов,Прирост вкладов,Доля валютных депозитов,Прирост населения за три года,Численность населения,Естественный прирост населения за три года,Миграционный прирост населения за три года,Доля просроченных кредитов,Изменение просроченных кредитов,Ссудная задолженность,Прирост задолженности,Доля с возможностей купить жилье в ипотеку 2019,Доля с возможностей купить жилье в ипотеку 2018,Отношение долга по кредитам к зп,Долг на человека(в тыс руб),Изменение долга(в тыс руб),Доля зп более 100тыс,Доля зп менее 15тыс,Медианная зп,Привлекательность труда для пенсионеров,Отношение зп в малых нас пунктах на стоимость базовых товаров,Средняя зп в малых нас пунктах,Прирост зп в малых нас пунктах,Отношение зп в малых нас пунктах к зп по региону,Число новых рабочих мест за три года,Число новых рабочих мест за 10 лет,Изменение числа новых рабочих мест за три года,Изменение числа новых рабочих мест за 10 лет,Отсутствие вредных привычек,Кол-во ДТП на 100тыс авто,Изменение кол-ва ДТП,Число пострадавших в дтп,Число погибших на 1000 пострадавших
RU-VLG,Вологодская обл,40.688,144.0,5.3,31.9,9.5,-2.0,1160.4,-13.1,-10.0,3.88,-1.7,229.0,14.2,39.2,38.0,56.1,223.8,27.2,3.2,11.9,30.4,35.8,2.25,30.7,9.3,0.8,-30.5,-78.6,-5.4,-12.7,66.7,324.0,-2.8,180.0,61.0
RU-KIR,Кировская обл,40.261,106.5,4.69,35.1,6.6,-2.3,1262.4,-18.1,-11.1,3.35,-0.4,200.0,14.4,30.4,27.6,63.7,194.4,25.8,1.0,20.5,23.3,54.3,1.96,24.6,8.4,0.86,-37.7,-58.2,-5.9,-8.8,64.8,405.0,-3.0,179.0,70.0
RU-ME,Респ Марий Эл,40.097,86.7,4.28,32.2,4.9,-0.8,679.4,-3.1,-2.2,2.98,-0.6,191.0,15.1,27.4,26.3,61.8,189.4,27.5,1.2,24.2,22.1,43.2,2.06,25.3,2.3,0.91,-13.4,-6.7,-4.1,-2.1,71.2,427.0,11.7,191.0,70.0
RU-KOS,Костромская обл,40.094,118.8,4.81,21.6,6.8,-2.3,633.4,-9.5,-5.2,4.0,-0.8,178.0,17.5,33.3,26.7,55.2,173.3,27.1,1.3,20.1,24.1,44.6,2.17,26.5,9.4,0.86,-12.9,-36.8,-4.2,-11.0,60.6,339.0,0.9,162.0,67.0
RU-IRK,Иркутская обл,39.824,127.1,5.11,35.3,8.9,-0.7,2391.2,-2.6,-15.1,4.59,-1.1,266.0,14.1,40.1,39.2,55.7,260.9,33.6,5.5,2.7,35.6,40.5,3.37,43.8,10.0,0.96,-49.4,-56.5,-4.3,-4.9,68.9,417.0,-3.0,189.0,80.0
RU-DA,Респ Дагестан,39.347,22.1,0.82,30.9,2.7,2.3,3110.9,98.9,-30.0,5.86,-0.5,51.0,23.1,10.0,10.3,17.9,49.2,9.8,0.9,34.2,19.1,38.4,1.71,21.2,7.6,0.86,9.2,67.8,0.8,6.0,91.9,198.0,-8.2,84.0,135.0
RU-NGR,Новгородская обл,38.906,112.0,4.26,25.4,9.1,-2.6,596.5,-13.1,-3.0,4.56,-0.8,203.0,14.4,32.8,33.0,60.0,198.6,26.2,2.0,15.1,26.6,45.8,2.26,28.8,5.5,0.88,-15.0,-32.1,-4.9,-9.9,72.8,424.0,-7.4,238.0,57.0
RU-NEN,Ненецкий АО,38.858,,,,,0.4,44.1,0.7,-0.5,1.66,-0.1,356.0,16.5,53.1,51.9,39.8,355.8,53.9,25.0,1.7,66.8,29.1,4.75,83.3,5.1,1.07,-0.5,-0.7,-2.2,-3.3,52.4,202.0,-3.1,89.0,51.0
RU-AMU,Амурская обл,38.752,128.2,4.06,38.1,5.8,-1.5,790.0,-6.2,-5.5,4.6,-0.8,247.0,17.3,37.6,36.9,50.5,242.0,36.1,6.6,3.5,37.5,47.2,3.54,50.6,11.2,1.04,-3.9,-20.7,-1.0,-5.1,56.2,455.0,6.6,232.0,77.0
RU-CHU,Чукотский АО,38.475,228.9,2.82,31.2,3.0,0.9,50.3,0.3,0.1,2.14,-0.2,292.0,26.8,,,26.9,291.8,62.9,32.1,0.4,78.2,32.7,3.69,87.8,7.8,0.92,-1.3,-2.5,-4.3,-7.6,59.4,139.0,-50.0,36.0,56.0
RU-KO,Респ Коми,38.214,157.5,4.64,16.8,7.5,-3.5,820.5,-3.5,-26.5,3.15,-0.9,304.0,13.8,41.9,41.2,54.3,296.1,36.5,9.6,2.2,39.5,37.1,3.66,54.5,6.2,1.06,-27.2,-60.5,-6.4,-13.2,58.4,323.0,-7.9,173.0,46.0
RU-SA,Респ Саха /Якутия/,37.992,115.9,2.63,28.2,4.7,1.0,972.0,17.0,-7.9,3.62,-0.2,391.0,14.6,41.4,39.2,52.3,388.7,53.9,17.7,1.6,54.1,35.5,3.89,67.5,6.0,1.0,11.5,6.0,2.5,1.3,62.4,259.0,-20.2,117.0,74.0
RU-CE,Респ Чеченская,37.789,8.5,0.36,22.6,3.1,4.5,1478.7,68.5,-8.0,5.85,0.4,54.0,19.9,8.8,7.8,18.7,52.7,8.4,1.0,28.8,21.3,22.8,1.56,21.2,3.8,0.82,23.3,185.3,4.5,51.3,99.4,76.0,14.5,34.0,251.0
